HHS Region/State/Territory,gte1_Tdap_pct,gte1_MenACWY,gte1_HPV_fem,gte2_HPV_fem,gte3_HPV_fem,gte1_HPV_m,gte2_HPV_m,gte3_HPV_m
Arkansas,91.2 (±3.4)***,81.5 (±4.6)***,63.5 (±8.4),49.4 (±8.9),34.0 (±8.4),44.2 (±8.1),28.9 (±7.2),16.4 (±5.8)
Louisiana,91.0 (±3.4),90.9 (±3.6),60.3 (±8.6),53.3 (±8.9),39.3 (±8.8),49.5 (±7.9),39.1 (±7.8),30.5 (±7.4)
New Mexico,85.9 (±4.2),72. 5(±5.3),66.7 (±7.6),55.6 (±7.8),40.6 (±7.5),54.3 (±8.5),49.9 (±8.5)***,40.3 (±8.2)***
Oklahoma,84.4 (±4.8),68.1 (±6.4),58.1 (±10.0),43.4 (±9.9),32.2 (±9.1),52.9 (±8.9),40.1 (±9.0),35.7 (±8.9)***
Texas (TX),85.1 (±2.6),89.6 (±2.2),60.1 (±5.1)***,50.4 (±5.2),40.9 (±5.0),41.4 (±4.8),32.9 (±4.4),24.0 (±3.8)
Iowa,85.5 (±4.6)***,75.0 (±5.3)***,66.7 (±8.0),62.3 (±8.2),49.8 (±8.6),48.0 (±8.7)***,37.0 (±8.2),23.9 (±7.2)
Kansas,87.3 (±4.2)***,63.7 (±5.9),50.9 (±8.8),43.6 (±8.6)***,31.7 (±8.0),36.0 (±8.1),26.3 (±7.4),18.5 (±6.7)
Missouri,85.7 (±4.9),69.7 (±6.5),59.3 (±10.0),43.4 (±10.4),31.5 (±9.7),44.7 (±9.8)***,33.7 (±9.5)***,25.1 (±9.1)***
Nebraska,87.7 (±4.1),78.1 (±4.8),67.3 (±7.9),55.5 (±8.5),48.2 (±8.6),54.3 (±7.9)***,46.9 (±7.8)***,32.2 (±7.2)
Colorado,93.3 (±2.9),85.6 (±4.3)***,65.3 (±8.2),57.7 (±8.6),46.0 (±8.7),63.2 (±8.4)***,52.7 (±9.0)***,37.1 (±8.8)***
Montana,89.5 (±3.7),65.8 (±5.4),55.0 (±8.5),41.8 (±8.3),34.8 (±8.0),46.0 (±8.0)***,33.3 (±7.7)***,21.7 (±6.8)
North Dakota,88.9 (±4.5),91.6 (±4.0),70.5 (±8.2),60.9 (±9.0),47.1 (±9.1),62.3 (±8.9)***,53.1 (±9.1)***,38.4 (±8.6)***
South Dakota,72.4 (±5.8),55.5 (±6.3),53.2 (±9.1),42.3 (±8.9),32.4 (±8.7),39.2 (±8.5),28.6 (±7.8),22.0 (±7.2)
Utah,82.0 (±5.2),71.5 (±5.8),47.8 (±9.4),35.9 (±8.8),24.6 (±7.7),40.9 (±8.9)***,33.7 (±8.7)***,19.9 (±7.6)
Wyoming,87.9 (±4.1),58.7 (±6.4),47.7 (±9.6),37.6 (±9.4),26.5 (±8.7),37.1 (±8.8),30.8 (±8.5)***,18.8 (±6.9)
Arizona,86.6 (±3.8),87.6 (±3.8),68.3 (±7.4),56.1 (±8.1),44.2 (±8.3),51.3 (±8.2),40.6 (±8.2)***,27.0 (±7.3)***
California,82.5 (±5.6),77.2 (±5.9),66.7 (±9.6),59.7 (±9.9),48.4 (±9.9),58.5 (±9.8),41.8 (±9.7),29.5 (±9.0)
Hawaii,79.6 (±4.9),78. 7(±5.0),71.3 (±8.0),64.1 (±8.4)***,52.4 (±8.8)***,62.5 (±8.0),50.2 (±8.4),36.2 (±8.1)
Nevada,88.3 (±4.3),78.0 (±5.3)***,72.0 (±7.8)***,57.6 (±9.0)***,42.5 (±9.2),44.5 (±8.8),31.9 (±8.1),23.7 (±7.2)
Alaska,69.7 (±5.8),55.7 (±6.2),57.0 (±8.7),46.3 (±8.7),36.9 (±8.4),41.6 (±8.5),30.3 (±7.8),18.8 (±6.4)
Idaho,82.5 (±5.2)***,81.4 (±5.2),57.3 (±8.9),43.5 (±9.0),30.3 (±8.2),44.2 (±8.9),36.4 (±8.6)***,26.4 (±7.9)
Oregon,89.4 (±3.8),75.2 (±5.5),70.0 (±8.1),55.4 (±9.0),48.9 (±9.0),58.6 (±8.4)***,48.2 (±8.7)***,35.7 (±8.5)***
Washington,85.3 (±4.5),75.4 (±5.1),65.8 (±8.1),55.8 (±8.4),45.1 (±8.4),46.8 (±8.0),41.2 (±7.8),28.0 (±7.1)
Guam,79.6 (±4.6),76.2 (±4.8),68.9 (±7.8),50.5 (±8.3),37.0 (±7.9),52.2 (±7.8),38.0 (±7.6),22.4 (±6.4)
Puerto Rico,82.5 (±5.2),87.9 (±4.3),77.4 (±7.8),52.7 (±9.7),42.0 (±9.4),68.1 (±8.6),44.3 (±9.1),30.8 (±8.7)
U.S. Virgin Islands,82.0 (±4.0),56.0 (±5.4),40.4 (±7.7),25.8 (±6.9),16.4 (±5.9),35.5 (±7.1),18.6 (±5.5),11.8 (±4.6)
